quality,psnr,ssim,msssim,bpp
57.0,32.13379521688243,0.8977473346098179,0.9779659518227096,1.0247599283854167
58.0,32.22826755866659,0.9001701010357791,0.9784191549704913,1.0446573893229167
59.0,32.292231773682225,0.9011958525720472,0.9786059218287875,1.0555216471354167
60.0,32.38131146572165,0.9027773303888681,0.9790632965096234,1.0696207682291667
61.0,32.48802474359951,0.904959261658163,0.9799259300148601,1.0893961588541667
62.0,32.56909710638803,0.9062544506607267,0.9802149063348903,1.1026611328125
63.0,32.67400756898822,0.908077544558779,0.9806836672834343,1.12530517578125
64.0,32.75493597010786,0.9088195361853707,0.9809731624947449,1.14031982421875
65.0,32.85357421539829,0.9104888953586429,0.981377488960104,1.1621297200520833
66.0,32.96473970612418,0.9121106566224558,0.9818620525066173,1.1800537109375
67.0,33.10661951680578,0.9143232094584963,0.9827613122313464,1.1986287434895833
68.0,33.221395782309656,0.9162203506624937,0.9832621702072144,1.22613525390625
69.0,33.32631667726028,0.9175247858014822,0.9836036885102092,1.2457071940104167
70.0,33.47304121318316,0.91983816976709,0.9841705729536993,1.27569580078125
71.0,33.60868470028291,0.921651850763098,0.9846927464920822,1.30169677734375
72.0,33.73126984762484,0.9233211811875682,0.9850203028649993,1.3224690755208333
73.0,33.84016793702021,0.9242700425426108,0.9850826762873747,1.3524983723958333
74.0,34.023029559228924,0.9268020668239073,0.9857942579857557,1.3952433268229167
75.0,34.11565759301437,0.9276619094049225,0.9858831945934893,1.4050699869791667
76.0,34.313253961011426,0.9301642758659051,0.9867952256710854,1.43804931640625
77.0,34.519128674556676,0.9328625833879641,0.9874790063929603,1.4900919596354167
78.0,34.67483852523579,0.9345558650771428,0.987805740553321,1.5321858723958333
79.0,34.84055950495519,0.9365827810253752,0.9881715206781404,1.5647379557291667
80.0,35.04601722554804,0.9387867994729356,0.9887171972506392,1.60943603515625
81.0,35.281037605979265,0.9414118459932878,0.9892217747755164,1.66912841796875
82.0,35.48743191289083,0.9433163258190547,0.9896139769925393,1.71484375
83.0,35.719251825584315,0.9455587782630106,0.9901268843234089,1.78082275390625
84.0,35.960854915306896,0.9478430226036384,0.9905493794246575,1.84063720703125
85.0,36.22470164808804,0.9500448918862903,0.9910645540743429,1.89935302734375
86.0,36.51434147222513,0.9525873989396655,0.991525239575143,1.99029541015625
87.0,36.80204715299608,0.9549441247392957,0.9919538999599925,2.0553385416666665
88.0,37.15870595634981,0.9577274317022019,0.9924022054713549,2.16741943359375
89.0,37.503971662543876,0.9602893602264689,0.9928371631148218,2.25018310546875
90.0,37.929337029559,0.9632667862188301,0.9934876866069543,2.39068603515625
91.0,38.36188887262278,0.9661001488087578,0.9940526534039971,2.5170694986979165
92.0,38.8486159127362,0.9689765194981727,0.9944504613334892,2.6469523111979165
93.0,39.41328387988686,0.9721554946423988,0.995018901508956,2.8716837565104165
94.0,40.0912375964138,0.9754909023042274,0.9955854526372798,3.137939453125
95.0,40.83017148206078,0.9787185369215828,0.9961278585021267,3.4546915690104165
96.0,41.823404809834734,0.9825525591766433,0.9968489916356359,3.8764851888020835
97.0,42.96388414975937,0.9860911567030227,0.997457123989339,4.364115397135417
98.0,44.436971851938296,0.9897711551771121,0.9980844901952289,4.95867919921875
99.0,46.33815196765045,0.9934538924846295,0.998795566110648,5.991963704427083
100.0,47.4455767578285,0.9952492286718191,0.9991684308227562,6.7686767578125
